area,crimeType,count,year,month,day,hour,festival,riskLevel
Third Mile,assault,6,2023,5,14,0,Diwali,high
Pearl City,theft,5,2024,5,6,4,Vishu,moderate
Millerpuram,assault,4,2024,3,19,1,New Year,high
Thoothukudi Port,murder,1,2024,8,13,12,Ayudha Pooja,moderate
Athimarapatti,murder,4,2024,5,4,22,Christmas,low
Beach Road,assault,3,2024,5,31,17,Pongal,low
Beach Road,theft,1,2023,12,21,6,Pongal,moderate
Athimarapatti,assault,2,2023,11,21,11,New Year,high
Bryant Nagar,harassment,9,2023,8,20,3,,moderate
Kovilpillai Nagar,assault,1,2024,3,11,0,Ayudha Pooja,moderate
Therespuram,murder,4,2024,5,14,9,Ayudha Pooja,moderate
Mattakadai,robbery,5,2024,4,19,22,Ayudha Pooja,low
Millerpuram,harassment,8,2023,3,15,7,Vishu,high
Beach Road,theft,2,2024,2,22,18,,high
Beach Road,murder,1,2024,3,8,11,Pongal,high
Millerpuram,murder,5,2024,10,17,19,Ayudha Pooja,moderate
Thoothukudi Port,harassment,2,2023,5,28,22,Christmas,moderate
New Colony,harassment,5,2023,9,4,5,New Year,low
Pearl City,vandalism,10,2024,8,25,14,Pongal,moderate
New Colony,murder,10,2024,2,8,20,Vishu,moderate
Nazreth,murder,1,2024,6,24,5,Vishu,low
Therespuram,murder,8,2023,4,2,0,Ayudha Pooja,low
New Colony,robbery,7,2024,5,31,4,Christmas,low
Pearl City,drug abuse,5,2023,11,21,11,Pongal,low
Beach Road,robbery,10,2023,4,24,13,Ayudha Pooja,low
Beach Road,robbery,2,2024,4,2,14,Diwali,high
Bryant Nagar,murder,6,2024,3,20,9,Ayudha Pooja,high
Third Mile,drug abuse,6,2024,5,16,9,Christmas,high
Kovilpillai Nagar,robbery,8,2023,11,8,14,Christmas,low
Third Mile,drug abuse,4,2024,12,25,19,Christmas,high
Muthiahpuram,murder,6,2023,8,14,1,,low
Muthiahpuram,vandalism,8,2023,1,9,16,Pongal,high
Victoria Extension,robbery,8,2024,5,29,23,Diwali,moderate
Millerpuram,assault,7,2024,2,6,6,New Year,moderate
Thoothukudi Port,murder,6,2024,8,15,10,,moderate
Nazreth,harassment,5,2023,8,18,6,Vishu,low
Millerpuram,robbery,3,2024,12,15,6,Ayudha Pooja,high
Bryant Nagar,drug abuse,2,2024,4,2,17,Christmas,low
Tiruchendur Road,harassment,5,2023,3,12,8,Vishu,moderate
Nazreth,vandalism,2,2023,9,23,4,Ayudha Pooja,low
Kovilpillai Nagar,harassment,4,2024,12,16,0,Pongal,moderate
Mattakadai,theft,1,2023,2,9,16,Diwali,moderate
New Colony,assault,5,2023,8,20,18,New Year,low
Third Mile,robbery,9,2024,12,7,17,,low
Beach Road,harassment,8,2023,1,15,21,Christmas,low
Pearl City,vandalism,4,2023,5,8,7,Diwali,low
Bryant Nagar,murder,2,2023,10,23,20,,high
Athimarapatti,robbery,10,2024,3,29,15,Pongal,moderate
Thoothukudi Port,harassment,1,2024,12,9,0,New Year,low
Athimarapatti,assault,7,2023,10,21,7,Vishu,high
Athimarapatti,vandalism,7,2023,7,13,16,Pongal,moderate
Bryant Nagar,vandalism,4,2024,3,19,11,,low
Tiruchendur Road,assault,9,2024,7,14,8,Christmas,high
Beach Road,assault,6,2024,12,22,17,Christmas,moderate
Thoothukudi Port,vandalism,7,2023,7,18,16,New Year,low
Mattakadai,vandalism,5,2023,6,8,8,Ayudha Pooja,moderate
Tiruchendur Road,drug abuse,10,2024,5,21,19,,moderate
Therespuram,assault,3,2024,7,10,19,Pongal,high
Bryant Nagar,assault,4,2023,5,31,23,,moderate
Athimarapatti,vandalism,2,2024,2,20,9,Diwali,high
Millerpuram,murder,3,2024,10,6,16,Pongal,low
Tiruchendur Road,murder,10,2023,4,5,21,Ayudha Pooja,high
Victoria Extension,drug abuse,6,2023,12,22,14,New Year,high
Athimarapatti,theft,4,2023,7,16,17,,high
Third Mile,drug abuse,1,2023,8,16,10,Pongal,moderate
Victoria Extension,robbery,2,2024,3,20,14,Vishu,high
Muthiahpuram,robbery,2,2023,1,19,2,Vishu,high
Nazreth,harassment,5,2023,2,18,21,,moderate
Bryant Nagar,drug abuse,3,2024,3,20,13,Ayudha Pooja,low
Victoria Extension,drug abuse,7,2024,2,27,3,Christmas,high
Pearl City,murder,8,2024,4,11,23,Diwali,moderate
Athimarapatti,theft,7,2024,1,12,11,Christmas,high
Beach Road,drug abuse,10,2023,12,24,7,Vishu,moderate
Pearl City,harassment,3,2024,9,26,16,Ayudha Pooja,low
Therespuram,drug abuse,4,2023,9,11,7,Diwali,moderate
Mattakadai,vandalism,7,2024,3,24,10,Pongal,low
New Colony,theft,5,2023,12,25,19,,high
Kovilpillai Nagar,murder,8,2023,1,21,3,Christmas,moderate
Muthiahpuram,vandalism,2,2024,12,13,18,Ayudha Pooja,moderate
Millerpuram,theft,3,2023,5,30,6,New Year,high
Victoria Extension,vandalism,2,2023,4,4,7,,moderate
Therespuram,murder,4,2023,9,10,12,,moderate
Third Mile,drug abuse,8,2023,5,12,6,,moderate
Beach Road,robbery,3,2024,6,30,18,Ayudha Pooja,low
Beach Road,assault,8,2024,11,2,8,Christmas,high
Mattakadai,drug abuse,3,2024,3,18,5,Diwali,low
New Colony,robbery,3,2023,1,6,22,New Year,moderate
Thoothukudi Port,murder,3,2024,6,28,19,Ayudha Pooja,moderate
Pearl City,robbery,2,2024,5,2,15,Christmas,low
New Colony,vandalism,7,2023,11,14,12,Vishu,moderate
Kovilpillai Nagar,assault,7,2023,3,7,7,Vishu,moderate
Mattakadai,drug abuse,1,2023,6,8,16,Diwali,low
Tiruchendur Road,robbery,6,2024,6,10,10,Pongal,moderate
Beach Road,assault,4,2024,3,5,22,Christmas,moderate
Beach Road,harassment,10,2023,12,14,21,New Year,moderate
Therespuram,harassment,8,2023,9,14,2,Christmas,low
Third Mile,harassment,4,2024,4,25,11,New Year,high
Mattakadai,assault,2,2023,8,24,9,Vishu,moderate
Therespuram,harassment,1,2023,4,1,5,Vishu,moderate
Nazreth,theft,2,2023,11,19,21,,moderate
Tiruchendur Road,vandalism,10,2024,9,9,8,Diwali,moderate
Bryant Nagar,assault,9,2024,2,6,23,,high
Third Mile,robbery,7,2024,6,9,11,Vishu,low
Victoria Extension,harassment,4,2023,8,26,17,Pongal,high
Athimarapatti,theft,6,2024,4,29,23,Diwali,high
Mattakadai,assault,9,2024,7,23,6,,high
Nazreth,robbery,5,2023,12,13,18,Vishu,low
Pearl City,harassment,7,2024,9,25,12,Christmas,moderate
Millerpuram,assault,1,2024,8,12,19,Ayudha Pooja,low
Thoothukudi Port,robbery,6,2023,1,29,4,New Year,moderate
Nazreth,drug abuse,2,2023,10,23,2,New Year,high
Thoothukudi Port,murder,6,2024,9,24,4,Christmas,low
Nazreth,vandalism,3,2024,1,8,1,Diwali,moderate
Victoria Extension,theft,1,2024,7,7,5,Pongal,high
Thoothukudi Port,assault,8,2023,3,21,15,,moderate
Thoothukudi Port,vandalism,4,2024,3,5,6,Vishu,moderate
Muthiahpuram,murder,9,2024,12,14,3,Diwali,high
Tiruchendur Road,robbery,1,2023,8,22,3,Ayudha Pooja,moderate
Thoothukudi Port,robbery,3,2024,4,2,16,Vishu,low
Pearl City,theft,3,2024,10,5,14,Ayudha Pooja,moderate
Millerpuram,assault,3,2023,3,30,18,Vishu,moderate
Athimarapatti,drug abuse,4,2023,1,30,2,Diwali,moderate
Kovilpillai Nagar,robbery,4,2024,3,20,6,Ayudha Pooja,low
Pearl City,vandalism,1,2024,7,17,7,Christmas,high
New Colony,vandalism,6,2023,4,24,21,New Year,high
Victoria Extension,robbery,6,2024,1,28,23,Diwali,high
Therespuram,murder,4,2024,7,3,7,,high
Muthiahpuram,drug abuse,10,2024,9,23,0,Ayudha Pooja,low
Victoria Extension,vandalism,5,2024,2,15,2,Ayudha Pooja,moderate
Nazreth,robbery,1,2023,12,30,5,,moderate
Thoothukudi Port,assault,10,2024,7,25,10,Pongal,high
Bryant Nagar,vandalism,10,2023,10,1,3,New Year,low
Kovilpillai Nagar,theft,9,2024,11,22,5,Christmas,moderate
Therespuram,assault,1,2023,1,7,22,Diwali,low
Tiruchendur Road,robbery,8,2024,7,30,13,Vishu,high
Millerpuram,robbery,8,2024,1,18,22,Pongal,high
Pearl City,murder,1,2023,12,9,7,Christmas,high
Muthiahpuram,vandalism,1,2024,4,2,5,,moderate
Tiruchendur Road,murder,8,2024,5,9,15,Vishu,high
Thoothukudi Port,theft,4,2024,3,2,17,Ayudha Pooja,moderate
Third Mile,theft,6,2023,9,19,8,New Year,high
Bryant Nagar,assault,10,2024,8,11,5,New Year,low
Third Mile,theft,7,2023,3,7,4,Diwali,moderate
Athimarapatti,harassment,6,2024,8,26,3,Christmas,high
Thoothukudi Port,murder,3,2023,2,6,14,Pongal,moderate
Mattakadai,murder,2,2024,6,30,21,Christmas,moderate
Athimarapatti,harassment,1,2024,5,24,5,Ayudha Pooja,low
Pearl City,murder,6,2024,2,22,5,Christmas,high
Victoria Extension,harassment,3,2023,11,27,22,Pongal,high
Beach Road,vandalism,1,2023,6,5,4,Diwali,moderate
Millerpuram,harassment,4,2024,10,4,22,Pongal,high
Third Mile,assault,2,2024,6,5,23,Ayudha Pooja,moderate
Tiruchendur Road,drug abuse,5,2024,11,12,8,Christmas,high
Bryant Nagar,harassment,5,2024,7,29,4,Diwali,low
Victoria Extension,murder,9,2023,11,19,2,Ayudha Pooja,moderate
Beach Road,assault,5,2023,1,25,21,Vishu,low
Muthiahpuram,robbery,8,2023,12,27,3,Diwali,moderate
Millerpuram,harassment,8,2024,6,19,19,Christmas,low
Beach Road,vandalism,10,2024,8,27,20,Diwali,low
Therespuram,harassment,7,2023,11,7,9,,high
Beach Road,vandalism,2,2023,4,28,5,Ayudha Pooja,low
Beach Road,drug abuse,1,2023,6,25,20,,high
Athimarapatti,murder,8,2023,4,30,9,Vishu,low
Nazreth,murder,6,2024,12,12,1,,moderate
Thoothukudi Port,theft,2,2024,9,7,2,Ayudha Pooja,high
Bryant Nagar,drug abuse,10,2023,2,14,23,Diwali,moderate
Pearl City,assault,6,2024,1,16,7,Ayudha Pooja,high
Muthiahpuram,assault,9,2024,6,3,7,,high
Thoothukudi Port,theft,3,2024,6,21,19,New Year,low
Beach Road,murder,1,2024,12,3,21,New Year,high
Third Mile,drug abuse,1,2023,11,28,0,,high
Athimarapatti,robbery,1,2024,7,15,12,Pongal,low
Millerpuram,robbery,5,2024,6,1,8,New Year,moderate
Beach Road,theft,4,2023,5,15,2,,moderate
Pearl City,vandalism,7,2023,1,10,16,Pongal,high
Mattakadai,theft,8,2023,5,1,4,,high
Third Mile,vandalism,6,2024,10,12,14,Christmas,moderate
Muthiahpuram,harassment,3,2024,7,12,12,Ayudha Pooja,moderate
Thoothukudi Port,robbery,9,2023,1,17,12,Diwali,low
Pearl City,robbery,3,2024,10,6,9,Pongal,moderate
Mattakadai,robbery,1,2023,2,5,18,Vishu,high
Pearl City,drug abuse,9,2023,2,23,3,Diwali,moderate
Beach Road,murder,6,2023,6,15,0,Vishu,high
Therespuram,drug abuse,6,2023,11,25,3,Diwali,moderate
Victoria Extension,murder,8,2024,2,23,1,Pongal,moderate
Pearl City,vandalism,9,2023,10,16,11,Diwali,high
Third Mile,assault,3,2024,6,28,14,,low
Tiruchendur Road,drug abuse,9,2023,12,4,14,Diwali,high
Beach Road,harassment,3,2023,12,28,5,Ayudha Pooja,moderate
Thoothukudi Port,assault,9,2024,9,21,2,Diwali,low
Athimarapatti,assault,6,2023,12,27,23,New Year,high
Bryant Nagar,robbery,9,2023,5,22,3,,low
Pearl City,theft,2,2024,9,26,14,New Year,moderate
Therespuram,theft,8,2023,10,24,6,Christmas,moderate
Nazreth,drug abuse,8,2023,5,1,6,New Year,moderate
Therespuram,robbery,6,2023,11,30,11,Ayudha Pooja,moderate
Athimarapatti,vandalism,5,2024,4,28,5,Vishu,low
Kovilpillai Nagar,theft,3,2023,9,20,1,New Year,moderate
Tiruchendur Road,vandalism,3,2023,11,26,23,Pongal,low
Beach Road,drug abuse,9,2024,4,5,10,Pongal,high
Athimarapatti,murder,7,2023,10,27,1,Pongal,low
Millerpuram,harassment,1,2023,7,25,4,Pongal,high
New Colony,murder,8,2024,10,2,8,Christmas,moderate
Mattakadai,robbery,7,2023,8,5,6,Ayudha Pooja,high
New Colony,assault,1,2023,12,14,11,,low
Tiruchendur Road,harassment,1,2023,9,16,9,Pongal,high
Victoria Extension,vandalism,9,2023,1,31,6,Vishu,moderate
Victoria Extension,assault,2,2023,2,27,18,Diwali,moderate
Pearl City,drug abuse,8,2023,12,22,7,,low
Beach Road,robbery,9,2024,12,14,1,Ayudha Pooja,low
Tiruchendur Road,assault,5,2024,10,18,17,Vishu,high
Kovilpillai Nagar,robbery,5,2024,3,4,14,Ayudha Pooja,moderate
Third Mile,theft,9,2023,5,12,23,Pongal,moderate
Muthiahpuram,robbery,4,2023,5,9,9,Ayudha Pooja,low
Athimarapatti,vandalism,2,2024,12,31,11,Diwali,low
Nazreth,harassment,1,2023,5,21,10,Pongal,high
Tiruchendur Road,harassment,8,2023,4,2,3,Vishu,high
Victoria Extension,robbery,6,2023,4,30,20,Pongal,low
Therespuram,murder,9,2023,9,16,9,Pongal,moderate
Tiruchendur Road,murder,7,2023,7,2,0,,moderate
New Colony,drug abuse,5,2023,6,29,0,Diwali,low
Bryant Nagar,assault,10,2024,12,12,12,New Year,low
Tiruchendur Road,drug abuse,7,2023,9,20,11,New Year,low
Mattakadai,murder,8,2023,7,23,5,Ayudha Pooja,low
Thoothukudi Port,vandalism,10,2024,12,13,9,Pongal,moderate
Kovilpillai Nagar,murder,1,2024,3,21,9,New Year,low
Beach Road,drug abuse,1,2023,2,6,13,Vishu,high
Pearl City,robbery,5,2023,9,20,6,New Year,high
Athimarapatti,robbery,6,2024,1,28,21,,high
Victoria Extension,murder,8,2023,6,12,2,Vishu,high
Millerpuram,assault,5,2024,4,9,2,,moderate
Pearl City,theft,5,2023,12,13,3,New Year,high
Kovilpillai Nagar,theft,3,2023,11,13,21,Christmas,moderate
Thoothukudi Port,theft,2,2023,1,13,21,New Year,high
Beach Road,drug abuse,2,2024,2,26,5,Vishu,high
Bryant Nagar,robbery,7,2024,1,6,12,Diwali,high
Therespuram,murder,9,2024,4,23,12,Ayudha Pooja,moderate
Third Mile,drug abuse,6,2024,3,29,21,Pongal,moderate
Mattakadai,harassment,3,2024,10,17,22,,low
Bryant Nagar,harassment,6,2024,4,6,5,Vishu,high
Tiruchendur Road,vandalism,2,2024,6,8,12,Pongal,high
Kovilpillai Nagar,drug abuse,5,2024,9,8,5,Ayudha Pooja,low
Beach Road,drug abuse,3,2023,11,29,12,New Year,moderate
Athimarapatti,theft,7,2024,6,4,3,Christmas,moderate
Third Mile,murder,6,2024,9,1,4,,low
Third Mile,harassment,9,2023,12,10,14,Pongal,low
Thoothukudi Port,theft,6,2023,8,11,0,New Year,low
Victoria Extension,murder,2,2023,6,25,23,Diwali,high
Victoria Extension,drug abuse,5,2023,5,26,14,Ayudha Pooja,high
Thoothukudi Port,theft,7,2023,8,4,3,Diwali,moderate
Nazreth,harassment,3,2023,7,20,12,Christmas,high
Millerpuram,robbery,2,2023,10,2,14,Diwali,moderate
Millerpuram,murder,1,2024,2,13,0,Christmas,low
New Colony,vandalism,7,2024,4,2,8,Diwali,moderate
Kovilpillai Nagar,theft,1,2023,6,22,11,,moderate
New Colony,theft,1,2024,2,15,23,Pongal,high
Millerpuram,robbery,2,2023,1,5,3,Pongal,moderate
Muthiahpuram,vandalism,5,2024,6,11,18,Ayudha Pooja,high
Athimarapatti,vandalism,5,2024,12,11,23,New Year,high
Beach Road,murder,6,2023,8,19,10,Ayudha Pooja,moderate
Therespuram,harassment,4,2023,5,6,14,Christmas,high
Victoria Extension,theft,1,2024,8,29,5,Christmas,low
Bryant Nagar,murder,9,2024,12,4,17,Ayudha Pooja,moderate
Thoothukudi Port,assault,1,2024,11,26,14,New Year,low
New Colony,harassment,4,2024,4,16,7,New Year,moderate
Kovilpillai Nagar,robbery,4,2024,10,14,19,Pongal,low
Pearl City,murder,1,2023,12,3,19,Christmas,low
Pearl City,drug abuse,1,2023,2,17,4,Vishu,low
Third Mile,drug abuse,2,2024,7,9,2,Vishu,high
Tiruchendur Road,vandalism,3,2024,12,31,9,Diwali,moderate
Thoothukudi Port,vandalism,9,2024,2,25,2,,low
Millerpuram,harassment,5,2024,9,12,10,Diwali,low
New Colony,harassment,1,2023,7,5,5,Vishu,low
Therespuram,drug abuse,4,2024,3,6,22,Ayudha Pooja,moderate
Therespuram,vandalism,10,2024,8,16,20,Diwali,low
Muthiahpuram,robbery,9,2024,7,30,7,Pongal,moderate
Nazreth,robbery,7,2024,7,7,0,Diwali,low
New Colony,assault,2,2023,2,4,17,Vishu,high
Victoria Extension,assault,4,2024,4,27,12,Pongal,high
New Colony,harassment,9,2023,11,14,8,Ayudha Pooja,high
Tiruchendur Road,murder,3,2024,9,14,11,Diwali,low
Athimarapatti,assault,3,2023,6,9,19,Ayudha Pooja,low
Pearl City,assault,5,2024,7,4,4,New Year,low
Athimarapatti,harassment,9,2023,3,8,22,Ayudha Pooja,high
Muthiahpuram,harassment,7,2023,3,2,14,Christmas,moderate
Third Mile,vandalism,5,2023,7,16,20,Diwali,moderate
Pearl City,drug abuse,5,2024,4,22,10,Christmas,moderate
Mattakadai,drug abuse,10,2024,3,13,8,Vishu,low
Athimarapatti,harassment,1,2024,3,28,19,New Year,moderate
Nazreth,theft,5,2024,2,22,15,Ayudha Pooja,low
Third Mile,robbery,4,2023,10,17,4,Pongal,moderate
Victoria Extension,assault,3,2024,9,5,11,Pongal,moderate
Athimarapatti,theft,3,2024,4,29,1,,low
Millerpuram,assault,3,2024,7,30,19,Pongal,low
Bryant Nagar,theft,4,2023,9,19,4,Ayudha Pooja,high
Mattakadai,drug abuse,5,2024,9,7,10,Vishu,high
Millerpuram,drug abuse,10,2024,11,8,16,Pongal,moderate
Victoria Extension,assault,10,2024,8,31,13,Vishu,high
Beach Road,murder,3,2023,10,4,22,Pongal,moderate
Nazreth,assault,2,2023,5,22,0,Vishu,high
Mattakadai,theft,9,2024,5,2,17,Christmas,low
Kovilpillai Nagar,assault,5,2023,8,4,8,Ayudha Pooja,low
Third Mile,robbery,5,2024,7,11,12,Ayudha Pooja,moderate
Therespuram,theft,10,2024,3,30,22,Ayudha Pooja,moderate
Third Mile,assault,4,2023,5,9,1,Pongal,moderate
Mattakadai,assault,8,2024,5,23,20,New Year,low
Therespuram,robbery,6,2023,12,30,11,New Year,low
Bryant Nagar,harassment,9,2024,7,24,22,Vishu,moderate
Athimarapatti,murder,8,2024,11,2,12,Ayudha Pooja,low
Tiruchendur Road,vandalism,9,2024,11,8,10,New Year,high
New Colony,drug abuse,6,2024,6,3,12,Vishu,high
Beach Road,theft,2,2024,4,12,11,,high
Nazreth,assault,8,2024,12,30,11,Christmas,high
Tiruchendur Road,vandalism,6,2024,11,4,19,Pongal,low
Victoria Extension,harassment,8,2024,3,18,1,Vishu,low
Tiruchendur Road,vandalism,9,2023,9,16,6,Christmas,high
Tiruchendur Road,assault,3,2024,12,17,20,Ayudha Pooja,low
Pearl City,murder,8,2023,7,8,8,Vishu,low
Victoria Extension,harassment,7,2024,2,12,12,Vishu,low
Pearl City,drug abuse,6,2024,9,9,2,Pongal,moderate
Therespuram,harassment,10,2023,4,21,23,Christmas,moderate
Kovilpillai Nagar,drug abuse,10,2024,12,16,21,Pongal,low
Third Mile,murder,3,2023,9,28,0,Christmas,low
Thoothukudi Port,theft,5,2024,7,14,2,Christmas,low
Third Mile,vandalism,8,2023,3,7,10,Ayudha Pooja,high
Third Mile,assault,8,2024,9,4,16,,low
Therespuram,murder,8,2023,1,12,9,,high
Tiruchendur Road,drug abuse,4,2023,9,12,14,Pongal,low
Mattakadai,vandalism,5,2023,5,28,4,Ayudha Pooja,moderate
Athimarapatti,drug abuse,9,2023,4,9,7,New Year,moderate
Mattakadai,theft,9,2024,10,9,18,Diwali,low
Tiruchendur Road,vandalism,8,2024,11,20,8,Christmas,high
Millerpuram,drug abuse,9,2024,5,27,18,Ayudha Pooja,high
Athimarapatti,vandalism,1,2024,10,3,7,Ayudha Pooja,low
Millerpuram,theft,6,2023,4,9,1,New Year,high
Millerpuram,murder,1,2024,10,2,6,,high
Tiruchendur Road,theft,3,2023,12,24,18,Ayudha Pooja,moderate
Pearl City,drug abuse,10,2023,8,23,21,,high
Bryant Nagar,assault,2,2023,8,19,15,New Year,high
Tiruchendur Road,robbery,2,2023,7,27,20,Ayudha Pooja,high
Victoria Extension,vandalism,5,2023,11,15,9,Vishu,moderate
Third Mile,theft,3,2024,1,20,20,,high
Thoothukudi Port,theft,1,2023,9,8,10,Diwali,low
Tiruchendur Road,robbery,8,2023,12,13,15,New Year,moderate
Tiruchendur Road,harassment,10,2024,4,8,12,,low
Bryant Nagar,murder,9,2024,9,8,20,Vishu,low
Bryant Nagar,theft,6,2023,11,6,10,New Year,moderate
Tiruchendur Road,assault,3,2024,4,11,17,Pongal,high
Tiruchendur Road,assault,10,2023,10,15,14,Christmas,moderate
Tiruchendur Road,vandalism,2,2024,8,29,1,,high
Pearl City,assault,8,2023,4,10,2,Pongal,low
New Colony,murder,7,2024,10,24,1,Ayudha Pooja,moderate
Tiruchendur Road,vandalism,2,2024,9,24,9,New Year,low
New Colony,theft,10,2023,5,26,20,Vishu,high
Beach Road,drug abuse,5,2023,8,27,2,Vishu,high
Muthiahpuram,theft,5,2024,10,8,22,Vishu,low
Beach Road,murder,2,2023,12,3,20,,low
Muthiahpuram,assault,10,2023,9,19,12,Pongal,high
Therespuram,robbery,7,2023,1,17,6,Diwali,high
New Colony,murder,5,2024,8,16,9,Diwali,low
Beach Road,drug abuse,8,2023,4,26,5,Christmas,moderate
Muthiahpuram,theft,7,2023,3,17,18,Diwali,moderate
Tiruchendur Road,assault,2,2024,8,30,17,,low
Third Mile,assault,6,2024,11,16,4,Diwali,high
Thoothukudi Port,theft,8,2023,8,7,1,Diwali,moderate
Victoria Extension,drug abuse,3,2024,11,14,8,Vishu,moderate
New Colony,murder,2,2023,4,10,4,New Year,moderate
Thoothukudi Port,assault,10,2023,9,14,18,New Year,low
Tiruchendur Road,robbery,1,2024,6,18,2,Diwali,low
New Colony,murder,2,2024,11,11,12,Pongal,moderate
Nazreth,drug abuse,7,2024,7,31,13,Vishu,high
Therespuram,drug abuse,8,2024,1,23,7,Christmas,low
Thoothukudi Port,murder,3,2024,5,3,22,Vishu,high
Beach Road,theft,5,2023,1,13,18,New Year,high
Bryant Nagar,drug abuse,10,2023,6,21,16,New Year,moderate
Pearl City,murder,10,2023,11,12,2,Christmas,low
Millerpuram,theft,2,2023,12,20,10,Pongal,moderate
Kovilpillai Nagar,drug abuse,9,2024,5,22,23,Christmas,low
Tiruchendur Road,robbery,9,2023,1,11,9,Christmas,low
Victoria Extension,vandalism,7,2023,2,1,16,Ayudha Pooja,high
Kovilpillai Nagar,assault,2,2023,5,2,17,New Year,high
Pearl City,murder,2,2023,7,3,14,Ayudha Pooja,moderate
Nazreth,assault,3,2023,1,9,20,Pongal,high
Pearl City,murder,3,2023,12,24,17,Vishu,low
Therespuram,drug abuse,9,2023,7,14,22,Christmas,low
Tiruchendur Road,robbery,8,2024,9,8,23,Vishu,moderate
Thoothukudi Port,murder,5,2024,10,9,7,Diwali,high
Pearl City,harassment,4,2023,10,27,19,New Year,moderate
Mattakadai,assault,2,2024,12,19,2,,low
Athimarapatti,harassment,2,2024,7,15,16,Vishu,high
New Colony,murder,7,2023,9,8,19,Christmas,low
Nazreth,robbery,3,2023,1,3,4,Diwali,moderate
Thoothukudi Port,harassment,9,2024,12,29,8,Ayudha Pooja,low
Bryant Nagar,vandalism,4,2023,5,27,1,Pongal,low
Tiruchendur Road,harassment,3,2023,8,15,5,Pongal,high
Bryant Nagar,murder,6,2023,7,27,17,Pongal,high
Bryant Nagar,assault,2,2024,3,2,9,Vishu,high
Nazreth,theft,4,2024,7,26,16,Christmas,high
Bryant Nagar,assault,7,2024,10,1,20,Vishu,moderate
Victoria Extension,theft,6,2023,9,30,17,Vishu,high
Beach Road,assault,5,2024,6,15,6,,high
Kovilpillai Nagar,robbery,3,2024,2,26,6,Vishu,high
Nazreth,harassment,1,2023,12,15,8,New Year,moderate
Victoria Extension,assault,5,2024,9,21,1,Christmas,low
Muthiahpuram,robbery,9,2023,6,6,9,Diwali,moderate
Athimarapatti,drug abuse,10,2023,7,19,5,Pongal,high
Mattakadai,theft,1,2024,5,1,5,Vishu,low
Nazreth,robbery,2,2023,10,20,19,Christmas,moderate
Muthiahpuram,murder,7,2024,11,25,9,Christmas,high
Third Mile,theft,1,2023,6,1,22,Pongal,low
Kovilpillai Nagar,harassment,10,2023,11,14,10,,low
Victoria Extension,robbery,10,2024,11,1,7,New Year,moderate
Third Mile,murder,9,2023,1,14,18,Diwali,low
Nazreth,vandalism,2,2023,9,16,12,Pongal,low
Therespuram,assault,10,2024,6,14,0,Ayudha Pooja,moderate
Kovilpillai Nagar,assault,6,2023,1,24,18,New Year,low
Mattakadai,murder,3,2023,9,12,0,,high
Bryant Nagar,harassment,3,2023,1,22,7,Pongal,moderate
Third Mile,vandalism,3,2024,3,23,14,Christmas,high
Athimarapatti,drug abuse,1,2024,3,6,5,,high
Athimarapatti,harassment,3,2024,7,6,14,Christmas,moderate
Athimarapatti,robbery,5,2023,1,10,9,New Year,moderate
Thoothukudi Port,murder,9,2023,6,6,20,Diwali,low
Athimarapatti,assault,5,2023,11,4,3,Christmas,high
Nazreth,robbery,4,2024,11,18,2,Ayudha Pooja,moderate
Muthiahpuram,vandalism,9,2023,3,10,21,Ayudha Pooja,moderate
New Colony,murder,5,2023,12,20,0,Ayudha Pooja,low
Kovilpillai Nagar,vandalism,7,2024,8,21,2,New Year,moderate
Bryant Nagar,vandalism,2,2024,12,7,12,Christmas,moderate
Thoothukudi Port,vandalism,1,2023,3,27,22,New Year,low
Kovilpillai Nagar,vandalism,8,2024,12,1,8,Pongal,high
Therespuram,assault,4,2023,9,5,17,Christmas,high
Victoria Extension,murder,5,2023,1,31,21,Pongal,high
Athimarapatti,assault,7,2024,4,1,1,,high
Nazreth,robbery,4,2024,6,21,17,Vishu,moderate
Athimarapatti,harassment,10,2024,7,22,6,Pongal,moderate
Kovilpillai Nagar,murder,3,2024,5,11,21,Christmas,high
Athimarapatti,harassment,1,2024,6,3,6,Pongal,high
Athimarapatti,drug abuse,1,2023,2,23,7,,moderate
Victoria Extension,vandalism,10,2024,6,14,20,Vishu,low
Kovilpillai Nagar,murder,10,2023,12,9,2,Pongal,moderate
New Colony,robbery,8,2024,1,28,8,Vishu,high
New Colony,murder,6,2024,12,22,19,Vishu,high
Third Mile,vandalism,1,2023,6,17,10,Diwali,low
Third Mile,drug abuse,1,2024,5,5,0,Vishu,high
Mattakadai,harassment,6,2023,11,2,12,Diwali,low
Bryant Nagar,harassment,2,2023,9,12,21,Christmas,low
Third Mile,theft,7,2024,4,29,6,Vishu,moderate
Therespuram,assault,6,2023,2,13,19,Diwali,low
Muthiahpuram,vandalism,3,2024,7,16,23,,moderate
Athimarapatti,drug abuse,6,2023,4,23,8,Ayudha Pooja,low
Athimarapatti,theft,9,2023,11,4,23,Christmas,high
Muthiahpuram,vandalism,2,2023,12,9,23,Christmas,high
Kovilpillai Nagar,murder,4,2024,11,12,14,Christmas,low
Pearl City,theft,6,2023,3,9,12,Pongal,moderate
New Colony,murder,9,2024,8,27,9,Christmas,low
Kovilpillai Nagar,theft,10,2024,10,3,9,Ayudha Pooja,low
Kovilpillai Nagar,murder,9,2024,6,9,13,New Year,moderate
